Date,Ticker,Close,Volume,RSI,StochK,BBLower,BBUpper,DonchLower,DonchUpper,WilliamsR,FearGreed,Patterns,Score,Opinion,ATR,StopLoss,TakeProfit,TrailingStop,TrailingStart,MACD,MACDSignal,MACDHistogram,SMA20,EMA20
2026-06-15,AAPL,296.42,45303570,49.46,30.11,288.46,318.92,287.38,317.40,-69.89,20,,50.00,HOLD,7.27,285.51,318.24,285.51,300.06,0.44,6.77,-6.33,303.69,298.91
2026-06-15,AMZN,246.02,41083012,43.22,30.20,233.25,279.44,233.59,274.75,-69.80,20,,50.00,HOLD,7.59,234.64,268.78,234.64,249.81,-9.76,-5.43,-4.33,256.34,252.27
2026-06-15,GOOGL,369.35,27424864,49.84,48.38,349.19,400.91,346.36,408.61,-51.62,20,,50.00,HOLD,10.86,353.05,401.94,353.05,374.78,-14.18,-9.51,-4.68,375.05,370.01
2026-06-15,META,593.48,16432589,46.31,42.41,561.75,644.60,557.01,643.00,-57.59,20,,50.00,HOLD,19.69,563.94,652.56,563.94,603.33,-9.44,-1.79,-7.66,603.17,599.07
2026-06-15,MSFT,399.76,31889993,42.72,20.81,383.30,453.99,382.27,466.32,-79.19,20,,50.00,HOLD,12.09,381.62,436.04,381.62,405.81,1.01,5.16,-4.15,418.64,412.61
2026-06-15,NVDA,212.45,130006836,51.29,39.80,200.25,227.71,199.34,232.28,-60.20,20,,50.00,HOLD,7.99,200.46,236.43,200.46,216.45,-4.84,-1.35,-3.49,213.98,211.27
2026-06-15,TSLA,411.15,43296855,50.56,47.36,383.56,446.82,380.15,445.60,-52.64,20,,50.00,HOLD,17.49,384.91,463.63,384.91,419.90,-10.68,-0.02,-10.65,415.19,410.12
